t_k,alpha_tk,nu_tk,r_t,V_irs
0.25000000,0.05000686,0.00740722,0.05438383,0.02310443
0.25000000,0.05000686,0.00740722,0.03829164,-0.06155514
0.25000000,0.05000686,0.00740722,0.06093954,0.05541139
0.25000000,0.05000686,0.00740722,0.05273536,0.01478756
0.25000000,0.05000686,0.00740722,0.05627769,0.03256266
0.25000000,0.05000686,0.00740722,0.04577775,-0.02119582
0.25000000,0.05000686,0.00740722,0.05603458,0.03135429
0.25000000,0.05000686,0.00740722,0.05792126,0.04068799
0.25000000,0.05000686,0.00740722,0.05173184,0.00968592
0.25000000,0.05000686,0.00740722,0.05174312,0.00974343
0.25000000,0.05000686,0.00740722,0.05200935,0.01109967
0.25000000,0.05000686,0.00740722,0.04361187,-0.03269435
0.25000000,0.05000686,0.00740722,0.04891408,-0.00479710
0.25000000,0.05000686,0.00740722,0.04887709,-0.00498879
0.25000000,0.05000686,0.00740722,0.05284674,0.01535200
0.25000000,0.05000686,0.00740722,0.05741278,0.03818236
0.25000000,0.05000686,0.00740722,0.04216605,-0.04045027
0.25000000,0.05000686,0.00740722,0.04908089,-0.00393317
0.25000000,0.05000686,0.00740722,0.06098032,0.05560862
0.25000000,0.05000686,0.00740722,0.04449894,-0.02796764
0.25000000,0.05000686,0.00740722,0.04391627,-0.03106964
0.25000000,0.05000686,0.00740722,0.05150538,0.00853062
0.25000000,0.05000686,0.00740722,0.05626140,0.03248176
0.25000000,0.05000686,0.00740722,0.05009149,0.00128323
0.25000000,0.05000686,0.00740722,0.05985076,0.05012961
0.25000000,0.05000686,0.00740722,0.05635332,0.03293822
0.25000000,0.05000686,0.00740722,0.05624240,0.03238737
0.25000000,0.05000686,0.00740722,0.05411132,0.02173499
0.25000000,0.05000686,0.00740722,0.06724829,0.08537554
0.25000000,0.05000686,0.00740722,0.04848718,-0.00701186
0.25000000,0.05000686,0.00740722,0.03516633,-0.07892607
0.25000000,0.05000686,0.00740722,0.06188992,0.05999495
0.25000000,0.05000686,0.00740722,0.04661658,-0.01678090
0.25000000,0.05000686,0.00740722,0.05080595,0.00495280
0.25000000,0.05000686,0.00740722,0.05970699,0.04942968
0.25000000,0.05000686,0.00740722,0.03813857,-0.06239866
0.25000000,0.05000686,0.00740722,0.04073563,-0.04818734
0.25000000,0.05000686,0.00740722,0.03814584,-0.06235858
